host_response_rate host_acceptance_rate host_is_superhost accommodates beds price minimum_nights maximum_nights has_availability number_of_reviews review_scores_rating instant_bookable reviews_per_month bathrooms
0.96 0.95 f 1 1.0 3.4011973816621555 32 1125 t 18 4.94 f 0.33 1.0
1.0 0.97 f 12 3.0 7.1284959456800365 32 365 t 0 NA t NA 3.0
1.0 1.0 f 6 3.0 5.365976015021851 2 45 t 14 4.87 f 2.78 1.0
1.0 0.98 f 2 1.0 4.07753744390572 2 180 t 13 4.08 t 3.61 1.0
1.0 1.0 t 6 3.0 5.017279836814924 2 365 t 64 4.8 t 3.24 2.0
1.0 0.97 f 2 1.0 5.056245805348308 1 365 t 2 5.0 t 1.18 1.0
1.0 0.97 t 2 1.0 4.59511985013459 2 90 t 35 4.74 f 0.88 1.0
1.0 0.99 t 4 2.0 4.976733742420574 2 365 t 25 4.88 f 2.43 2.0
1.0 0.93 f 4 2.0 5.0106352940962555 2 1125 t 32 4.75 f 1.92 2.0
0.99 0.99 t 6 3.0 5.552959584921617 2 365 t 11 5.0 t 1.38 2.0
1.0 0.84 f 2 1.0 4.343805421853684 1 60 t 13 5.0 f 2.71 1.0
1.0 1.0 f 6 3.0 5.062595033026967 2 365 t 26 4.88 t 1.54 2.0
1.0 0.99 t 10 4.0 5.91350300563827 2 28 t 138 4.78 t 2.57 3.5
0.9 1.0 f 2 1.0 4.127134385045092 32 1125 t 3 4.67 f 0.31 1.0
0.99 0.96 t 6 3.0 5.153291594497779 2 60 t 109 4.81 f 5.02 2.0
NA NA t 2 1.0 4.23410650459726 32 1125 t 46 4.78 f 0.41 1.0
1.0 0.97 f 2 1.0 5.298317366548036 32 1125 t 0 NA f NA 1.0
0.99 0.97 f 14 7.0 5.062595033026967 2 1125 t 52 4.68 f 4.62 2.0
0.0 0.0 f 1 1.0 3.1780538303479458 32 220 t 0 NA f NA 1.0
0.9 0.8 t 2 1.0 5.075173815233827 32 365 t 3 5.0 f 0.27 1.0
1.0 0.68 t 2 1.0 5.135798437050262 90 1123 t 13 4.92 f 0.11 1.0
0.75 0.0 f 2 1.0 3.6375861597263857 32 1125 t 0 NA f NA 1.0
1.0 0.9 t 2 1.0 3.9889840465642745 1 365 t 31 4.71 f 4.15 1.0
1.0 0.99 t 2 1.0 4.127134385045092 1 365 t 21 4.68 t 3.68 1.0
1.0 1.0 f 4 2.0 4.02535169073515 1 365 t 12 4.17 t 1.47 1.0
1.0 1.0 t 3 2.0 4.59511985013459 2 1125 t 170 4.95 f 2.52 1.0
NA NA f 2 NA 7.090076835776092 32 1125 t 0 NA f NA 1.0
1.0 0.98 t 5 3.0 5.564520407322694 2 30 t 46 5.0 f 3.2 1.0
1.0 0.97 f 4 4.0 4.382026634673881 2 365 t 23 4.74 t 6.22 2.0
1.0 1.0 f 8 4.0 4.30406509320417 32 365 t 177 4.71 t 2.4 1.5
1.0 0.97 t 2 1.0 4.564348191467836 2 365 t 8 5.0 f 4.0 1.0
1.0 1.0 f 6 3.0 4.382026634673881 2 365 t 12 4.33 f 1.6 2.0
0.99 0.99 f 4 2.0 5.497168225293202 2 1125 t 27 4.74 f 1.71 1.0
0.63 0.0 f 1 1.0 3.044522437723423 32 1125 t 2 5.0 f 0.08 1.0
0.96 1.0 f 6 3.0 5.0238805208462765 6 365 t 25 5.0 t 3.57 2.0
1.0 1.0 f 8 5.0 5.857933154483459 2 1125 t 4 4.75 f 0.19 3.5
1.0 1.0 t 2 1.0 5.308267697401205 2 18 t 296 4.92 f 3.94 1.0
1.0 0.87 t 2 1.0 3.970291913552122 1 90 t 30 4.73 f 2.56 1.0
NA 0.94 t 12 7.0 6.455198563340122 2 365 t 16 4.88 f 0.92 2.5
1.0 1.0 f 6 3.0 4.653960350157523 32 365 t 2 4.0 f 0.66 2.0
1.0 1.0 f 1 1.0 3.8066624897703196 32 365 t 0 NA f NA 1.0
1.0 0.97 f 2 1.0 4.859812404361672 32 1125 t 0 NA f NA 1.0
1.0 1.0 t 2 2.0 4.605170185988092 1 1125 t 368 4.87 t 5.97 1.0
1.0 0.28 f 2 1.0 5.0106352940962555 160 1124 t 1 5.0 f 0.01 1.0
0.91 0.86 t 4 2.0 4.219507705176107 32 370 t 10 5.0 f 0.21 1.0
1.0 0.91 t 4 2.0 4.04305126783455 1 1125 t 75 4.67 f 2.56 1.0
1.0 0.99 t 4 1.0 5.14166355650266 1 1125 t 84 4.75 t 0.88 1.0
0.99 0.99 f 6 3.0 6.095824562432225 1 1125 t 62 4.76 f 1.27 2.0
1.0 0.97 f 2 1.0 4.605170185988092 32 1125 t 0 NA f NA 1.0
1.0 1.0 f 16 17.0 6.3473892096560105 2 1125 t 117 4.68 f 1.74 4.0
1.0 0.91 f 4 2.0 5.3612921657094255 32 365 t 0 NA t NA 2.0
1.0 0.87 f 1 2.0 3.367295829986474 32 365 t 1 2.0 f 0.17 2.0
0.8 0.98 f 8 4.0 5.537334267018537 1 365 t 1 1.0 f 0.58 2.5
1.0 0.28 f 2 1.0 5.075173815233827 160 1123 t 1 5.0 f 0.01 1.0
1.0 0.97 f 4 2.0 4.990432586778736 32 1125 t 0 NA f NA 1.0
1.0 1.0 t 4 2.0 4.543294782270004 2 1125 t 71 4.8 f 4.29 1.0
1.0 0.67 f 3 1.0 4.820281565605037 32 1125 t 0 NA f NA 1.0
1.0 1.0 f 1 1.0 3.8501476017100584 3 14 t 1 5.0 f 0.61 1.0
1.0 1.0 t 4 3.0 4.406719247264253 32 95 t 0 NA f NA 1.0
0.99 1.0 t 8 4.0 4.812184355372417 2 30 t 39 4.88 t 4.61 3.0
1.0 1.0 t 2 1.0 4.1588830833596715 2 365 t 3 5.0 f 0.85 1.5
NA NA f 2 1.0 4.174387269895637 32 1125 t 0 NA f NA 1.0
1.0 1.0 t 7 4.0 5.749392985908253 2 7 t 7 5.0 f 0.93 2.5
1.0 0.28 f 2 1.0 4.762173934797756 28 1121 t 2 5.0 f 0.07 1.0
1.0 0.92 f 2 1.0 4.060443010546419 1 1125 t 1 5.0 f 1.0 1.0
NA NA f 4 2.0 5.666426688112432 32 1125 t 26 4.92 f 0.51 1.0
1.0 1.0 t 6 4.0 5.978885764901122 25 1125 t 27 4.85 f 0.3 2.5
1.0 0.87 t 2 1.0 3.970291913552122 1 90 t 72 4.93 f 5.29 1.0
1.0 0.78 t 8 4.0 4.962844630259907 2 365 t 59 4.72 f 3.6 3.0
1.0 0.91 t 2 1.0 3.9512437185814275 1 1125 t 73 4.86 f 2.37 1.0
1.0 1.0 f 6 3.0 5.659482215759621 2 180 t 91 4.78 t 1.09 2.0
1.0 0.68 t 2 1.0 4.653960350157523 28 1125 t 9 5.0 f 0.2 1.0
