id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
53872917,366516391,4/9/2018,"Chicago, IL",within an hour,96%,95%,f,Back of the Yards,11,13,"['email', 'phone']",t,t,New City,41.79424,-87.66138,Private room in rental unit,Private room,1,1 shared bath,1,$30.00 ,32,1125,32,32,1125,1125,32,1125,t,30,60,90,365,18,0,0,6/16/2019,8/12/2022,4.94,5,4.89,5,5,4.28,4.83,f,9,1,8,0,0.33
39269663,50276775,12/23/2014,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.89274905,-87.62071102,Room in hotel,Private room,12,3 baths,3,"$1,247.00 ",32,365,32,32,365,365,32,365,t,25,49,66,135,0,0,0,,,,,,,,,,t,58,0,58,0,
5.56481E+17,681680651,3/8/2020,,within an hour,100%,100%,f,Lake View East,1,1,['phone'],t,t,Lake View,41.9481596,-87.6523087,Entire rental unit,Entire home/apt,6,1 bath,3,$214.00 ,2,45,2,2,45,45,2,45,t,0,0,0,0,14,14,1,7/21/2023,12/3/2023,4.87,5,5,5,5,4.93,4.8,f,1,1,0,0,2.78
52397280,94345291,10/22/2015,"Chicago, IL",within an hour,100%,98%,f,Bucktown,55,58,"['email', 'phone', 'work_email']",t,t,Hyde Park,41.80103,-87.59716,Entire rental unit,Entire home/apt,2,1 bath,1,$59.00 ,2,180,2,2,180,180,2,180,t,23,53,83,355,13,13,3,9/2/2023,12/6/2023,4.08,4.08,4,4.38,4.23,4.54,3.85,t,55,55,0,0,3.61
7.45949E+17,790998106,4/4/2021,"Chicago, IL",within an hour,100%,100%,t,Near South Side,74,75,"['email', 'phone']",t,t,Near South Side,41.85577,-87.62413,Entire rental unit,Entire home/apt,6,2 baths,3,$151.00 ,2,365,2,2,1125,1125,2,1125,t,0,0,0,0,64,42,3,5/6/2022,12/6/2023,4.8,4.74,4.75,4.83,4.85,4.74,4.72,t,74,74,0,0,3.24
7.40777E+17,50276775,12/23/2014,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.8921,-87.61866,Room in hotel,Private room,2,1 bath,1,$157.00 ,1,365,1,1,1,999,1,742,t,22,48,66,201,2,2,1,10/29/2023,12/13/2023,5,5,5,5,5,4,5,t,58,0,58,0,1.18
8.41653E+17,570167059,8/12/2019,"Chicago, IL",within a few hours,100%,97%,t,Hyde Park,3,4,"['email', 'phone', 'work_email']",t,t,South Shore,41.77274,-87.57262,Entire condo,Entire home/apt,2,1 bath,1,$99.00 ,2,90,2,2,1125,1125,2,1125,t,30,60,90,180,35,15,0,9/7/2020,10/9/2023,4.74,4.91,4.8,4.69,4.86,4.43,4.63,f,3,3,0,0,0.88
7.64576E+17,975964114,11/16/2022,,within an hour,100%,99%,t,Humboldt Park,4,4,"['email', 'phone']",t,t,West Town,41.89964529,-87.7059489,Entire rental unit,Entire home/apt,4,2 baths,2,$145.00 ,2,365,2,2,1125,1125,2,1125,t,30,45,63,63,25,25,0,2/13/2023,10/16/2023,4.88,4.92,4.76,4.84,4.92,4.4,4.72,f,4,4,0,0,2.43
8.56428E+17,44110882,10/2/2014,"Chicago, IL",within a few hours,100%,93%,f,Douglas,1,6,"['email', 'phone']",t,t,Douglas,41.83383,-87.62166,Entire guest suite,Entire home/apt,4,2 baths,2,$150.00 ,2,1125,2,2,1125,1125,2,1125,t,25,45,75,337,32,16,1,8/7/2022,11/18/2023,4.75,4.94,4.69,4.88,4.94,4.78,4.91,f,1,1,0,0,1.92
8.62445E+17,497520971,3/14/2019,,within an hour,99%,99%,t,West Loop/Greektown,71,88,['phone'],t,t,Near North Side,41.89612,-87.62781,Entire rental unit,Entire home/apt,6,2 baths,3,$258.00 ,2,365,2,3,1125,1125,2.2,1125,t,0,0,0,0,11,11,2,4/23/2023,12/5/2023,5,5,5,4.85,5,5,4.69,t,51,51,0,0,1.38
8.21652E+17,124046274,3/7/2016,"Los Angeles, CA",within a few hours,100%,84%,f,West Ridge,1,2,"['email', 'phone']",t,t,West Ridge,41.99560601,-87.6862718,Private room in rental unit,Private room,2,1 bath,1,$77.00 ,1,60,2,2,60,60,2,60,t,30,60,90,269,13,13,1,7/28/2023,11/25/2023,5,4.92,4.92,4.85,5,4.92,4.92,f,1,0,1,0,2.71
9.52833E+17,486071274,2/13/2019,"Skokie, IL",within an hour,100%,100%,f,Near South Side,42,45,"['email', 'phone']",t,t,Near South Side,41.85394,-87.6273,Entire rental unit,Entire home/apt,6,2 baths,3,$158.00 ,2,365,2,3,1125,1125,2,1125,t,22,52,82,348,26,18,3,7/31/2022,12/3/2023,4.88,4.92,4.96,4.85,4.96,4.96,4.81,t,42,42,0,0,1.54
21812384,521616514,5/9/2019,United Kingdom,within an hour,100%,99%,t,Gold Coast,8,9,"['email', 'phone', 'work_email']",t,t,Near North Side,41.90136,-87.62574,Entire townhouse,Entire home/apt,10,3.5 baths,4,$370.00 ,2,28,2,2,1125,1125,2,1125,t,19,38,68,335,138,36,4,7/23/2019,12/15/2023,4.78,4.8,4.76,4.8,4.7,4.99,4.65,t,2,2,0,0,2.57
9.13489E+17,605209547,10/15/2019,"Chicago, IL",within an hour,90%,100%,f,Montclare,4,5,"['email', 'phone']",t,f,Montclare,41.92539,-87.79371,Entire condo,Entire home/apt,2,1 bath,1,$62.00 ,32,1125,32,32,1125,1125,32,1125,t,0,0,14,14,3,3,0,3/1/2023,8/22/2023,4.67,4.67,4.33,5,5,4.67,5,f,4,4,0,0,0.31
8.41936E+17,252359307,4/16/2017,"Chicago, IL",within an hour,99%,96%,t,Fulton Market,24,28,"['email', 'phone']",t,t,Loop,41.8777,-87.62805,Entire rental unit,Entire home/apt,6,2 baths,3,$173.00 ,2,60,2,4,60,60,2,60,t,0,0,0,0,109,56,0,3/8/2022,11/9/2023,4.81,4.82,4.83,4.87,4.93,4.82,4.55,f,24,24,0,0,5.02
8.08458E+17,1675006,7/19/2011,"Chicago, IL",,,,t,Irving Park,1,5,"['email', 'phone', 'work_email']",t,t,Irving Park,41.95965,-87.72016,Entire condo,Entire home/apt,2,1 bath,1,$69.00 ,32,1125,32,32,1125,1125,32,1125,t,0,0,0,107,46,0,0,9/14/2014,12/1/2022,4.78,4.89,4.89,4.93,4.91,4.57,4.72,f,1,1,0,0,0.41
9.53552E+17,214868994,12/16/2016,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Near West Side,41.8850096,-87.6440271,Entire rental unit,Entire home/apt,2,1 bath,1,$200.00 ,32,1125,32,366,1125,1125,349.7,1125,t,16,46,76,351,0,0,0,,,,,,,,,,f,643,643,0,0,
8.42222E+17,341571126,1/30/2018,"Springfield, IL",within an hour,99%,97%,f,Near North Side,120,149,"['email', 'phone']",t,t,Lincoln Park,41.91201644,-87.63400522,Entire rental unit,Entire home/apt,14,2 baths,7,$158.00 ,2,1125,2,3,1125,1125,2.5,1125,t,0,0,0,0,52,52,3,1/15/2023,12/10/2023,4.68,4.7,4.68,4.74,4.83,4.87,4.68,f,38,38,0,0,4.62
16665876,882958959,1/21/2022,,a few days or more,0%,0%,f,South Shore,1,1,"['email', 'phone']",t,t,South Shore,41.75402,-87.55153,Private room in rental unit,Private room,1,1 shared bath,1,$24.00 ,32,220,32,32,220,220,32,220,t,30,60,90,269,0,0,0,,,,,,,,,,f,1,0,1,0,
1.01589E+18,966403066,10/11/2022,"Chicago, IL",within an hour,90%,80%,t,Near South Side,3,3,"['email', 'phone']",t,t,Near North Side,41.9040204,-87.6326926,Entire condo,Entire home/apt,2,1 bath,1,$160.00 ,32,365,32,32,365,365,32,365,t,0,0,16,291,3,3,0,1/14/2023,9/19/2023,5,5,4.67,5,5,4.33,5,f,3,3,0,0,0.27
