 train         node      observed        predicted
     y           50    0.340120E+001    0.346102E+001
     y          133    0.712850E+001    0.708082E+001
     y          231    0.536598E+001    0.473438E+001
     y           17    0.407754E+001    0.427931E+001
     y          231    0.501728E+001    0.516144E+001
     y          106    0.505625E+001    0.458715E+001
     y          220    0.459512E+001    0.433661E+001
     y          230    0.497673E+001    0.483583E+001
     y          448    0.501064E+001    0.492320E+001
     y          241    0.555296E+001    0.560943E+001
     y           52    0.434381E+001    0.449537E+001
     y          113    0.506260E+001    0.548862E+001
     y          116    0.591350E+001    0.574786E+001
     y          437    0.412713E+001    0.465662E+001
     y          231    0.515329E+001    0.512584E+001
     y          437    0.423411E+001    0.445707E+001
     y          131    0.529832E+001    0.482770E+001
     y          231    0.506260E+001    0.535189E+001
     y          260    0.317805E+001    0.438679E+001
     y          436    0.507517E+001    0.449845E+001
     y          219    0.513580E+001    0.486665E+001
     y          260    0.363759E+001    0.380291E+001
     y           52    0.398898E+001    0.394655E+001
     y          431    0.412713E+001    0.401152E+001
     y          448    0.402535E+001    0.455328E+001
     y          223    0.459512E+001    0.472775E+001
     y          260    0.709008E+001    0.515668E+001
     y          241    0.556452E+001    0.487607E+001
     y          230    0.438203E+001    0.487721E+001
     y          231    0.430407E+001    0.479487E+001
     y          223    0.456435E+001    0.464761E+001
     y          448    0.438203E+001    0.490091E+001
     y          448    0.549717E+001    0.472857E+001
     y           24    0.304452E+001    0.346258E+001
     y          241    0.502388E+001    0.531125E+001
     y          117    0.585793E+001    0.600080E+001
     y          222    0.530827E+001    0.449762E+001
     y           52    0.397029E+001    0.405464E+001
     y          117    0.645520E+001    0.607250E+001
     y           21    0.465396E+001    0.474987E+001
     y           20    0.380666E+001    0.413251E+001
     y          131    0.485981E+001    0.482770E+001
     y          431    0.460517E+001    0.435414E+001
     y          219    0.501064E+001    0.526098E+001
     y          241    0.421951E+001    0.443035E+001
     y          229    0.404305E+001    0.430857E+001
     y          451    0.514166E+001    0.469006E+001
     y          451    0.609582E+001    0.524162E+001
     y          131    0.460517E+001    0.482770E+001
     y          117    0.634739E+001    0.549301E+001
     y          132    0.536129E+001    0.507963E+001
     y          132    0.336730E+001    0.448453E+001
     y           17    0.553733E+001    0.520383E+001
     y          219    0.507517E+001    0.526067E+001
     y          133    0.499043E+001    0.507830E+001
     y          230    0.454329E+001    0.447732E+001
     y          261    0.482028E+001    0.537224E+001
     y           51    0.385015E+001    0.392488E+001
     y           21    0.440672E+001    0.436431E+001
     y          116    0.481218E+001    0.462276E+001
     y          221    0.415888E+001    0.453186E+001
     y          260    0.417439E+001    0.462888E+001
     y          241    0.574939E+001    0.580479E+001
     y          436    0.476217E+001    0.446023E+001
     y           52    0.406044E+001    0.441384E+001
     y          113    0.566643E+001    0.504921E+001
     y          117    0.597889E+001    0.567338E+001
     y           52    0.397029E+001    0.396890E+001
     y          117    0.496284E+001    0.532438E+001
     y           52    0.395124E+001    0.394560E+001
     y          113    0.565948E+001    0.535017E+001
     y          436    0.465396E+001    0.453086E+001
     y          240    0.501064E+001    0.471653E+001
     y           64    0.411087E+001    0.419546E+001
     y          431    0.406044E+001    0.415404E+001
     y          231    0.549306E+001    0.561783E+001
     y           51    0.343399E+001    0.374038E+001
     y           44    0.321888E+001    0.321888E+001
     y          448    0.552146E+001    0.565449E+001
     y           52    0.398898E+001    0.400619E+001
     y           50    0.309104E+001    0.321602E+001
     y          121    0.479579E+001    0.471387E+001
     y          223    0.477912E+001    0.429655E+001
     y          214    0.462497E+001    0.460232E+001
     y          231    0.531321E+001    0.510219E+001
     y           21    0.537528E+001    0.493622E+001
     y          220    0.313549E+001    0.418622E+001
     y          437    0.514166E+001    0.469770E+001
     y          113    0.402535E+001    0.452785E+001
     y          231    0.436945E+001    0.452834E+001
     y          241    0.516479E+001    0.500098E+001
     y          241    0.583773E+001    0.528366E+001
     y           61    0.470048E+001    0.504018E+001
     y          220    0.400733E+001    0.421422E+001
     y          437    0.407754E+001    0.410070E+001
     y          131    0.522575E+001    0.482770E+001
     y          229    0.439445E+001    0.467731E+001
     y          260    0.538450E+001    0.580752E+001
     y          231    0.518739E+001    0.493156E+001
     y          229    0.407754E+001    0.387405E+001
     y          230    0.438203E+001    0.461637E+001
     y          220    0.451086E+001    0.433596E+001
     y           50    0.380666E+001    0.393327E+001
     y          451    0.544674E+001    0.475923E+001
     y          222    0.304452E+001    0.338673E+001
     y           52    0.395124E+001    0.400949E+001
     y          222    0.430407E+001    0.453343E+001
     y          132    0.533754E+001    0.504588E+001
     y          131    0.542935E+001    0.557404E+001
     y          131    0.435671E+001    0.482770E+001
     y          230    0.448864E+001    0.454015E+001
     y          241    0.560580E+001    0.555717E+001
     y           17    0.496981E+001    0.492180E+001
     y          437    0.329584E+001    0.403918E+001
     y           52    0.395124E+001    0.397983E+001
     y          229    0.478749E+001    0.468610E+001
     y          230    0.527300E+001    0.488295E+001
     y          219    0.507517E+001    0.513573E+001
     y           31    0.771824E+001    0.659742E+001
     y          430    0.361092E+001    0.366226E+001
     y           50    0.317805E+001    0.297830E+001
     y          113    0.501064E+001    0.473501E+001
     y           23    0.391202E+001    0.404082E+001
     y          240    0.542053E+001    0.543812E+001
     y          261    0.455388E+001    0.459551E+001
     y          431    0.420469E+001    0.431348E+001
     y          223    0.424850E+001    0.446362E+001
     y           51    0.355535E+001    0.332574E+001
     y           17    0.398898E+001    0.388847E+001
     y          132    0.599146E+001    0.512665E+001
     y          241    0.529832E+001    0.524966E+001
     y          241    0.552146E+001    0.544866E+001
     y          451    0.391202E+001    0.428776E+001
     y          448    0.482831E+001    0.478912E+001
     y          106    0.299573E+001    0.308821E+001
     y           51    0.387120E+001    0.398712E+001
     y          131    0.435671E+001    0.477380E+001
     y           61    0.529330E+001    0.521231E+001
     y          261    0.380666E+001    0.409336E+001
     y           52    0.400733E+001    0.398187E+001
     y          113    0.494876E+001    0.478355E+001
     y          221    0.389182E+001    0.422150E+001
     y          223    0.398898E+001    0.460566E+001
     y          231    0.519296E+001    0.490129E+001
     y          260    0.423411E+001    0.467892E+001
     y          431    0.366356E+001    0.414503E+001
     y          231    0.501728E+001    0.520867E+001
     y          113    0.548894E+001    0.501272E+001
     y          113    0.423411E+001    0.468541E+001
     y          106    0.529330E+001    0.467248E+001
     y          431    0.500395E+001    0.482011E+001
     y          230    0.426268E+001    0.451988E+001
     y          437    0.501064E+001    0.408632E+001
     y           61    0.560947E+001    0.545993E+001
     y          229    0.436945E+001    0.474838E+001
     y           51    0.435671E+001    0.392275E+001
     y          132    0.529832E+001    0.522846E+001
     y          240    0.438203E+001    0.478196E+001
